antonym	concept	model_name
ластик	телевизор	v10_rl_09_lcm_lora_s8r64
3d-разрушитель	3d-принтер	v10_rl_09_lcm_lora_s8r64
реальность	аватар	v10_rl_09_lcm_lora_s8r64
свобода	темница	v10_rl_09_lcm_lora_s8r64
мусор	тимьян	v10_rl_09_lcm_lora_s8r64
меланист	альбинос	v10_rl_09_lcm_lora_s8r64
изюм	арбуз	v10_rl_09_lcm_lora_s8r64
смокинг	толстовка	v10_rl_09_lcm_lora_s8r64
хаос	топик	v10_rl_09_lcm_lora_s8r64
песок	асфальт	v10_rl_09_lcm_lora_s8r64
бинт	байонетта	v10_rl_09_lcm_lora_s8r64
молоток	топор	v10_rl_09_lcm_lora_s8r64
пустошь	тропинка	v10_rl_09_lcm_lora_s8r64
сито	банка	v10_rl_09_lcm_lora_s8r64
узел	бантик	v10_rl_09_lcm_lora_s8r64
бейсболка	тюбетейка	v10_rl_09_lcm_lora_s8r64
пешка	ферзь	v10_rl_09_lcm_lora_s8r64
брюнет	блондин	v10_rl_09_lcm_lora_s8r64
брюки	блузка	v10_rl_09_lcm_lora_s8r64
плоская крыша	фукигаэси	v10_rl_09_lcm_lora_s8r64
шорты	хиджаб	v10_rl_09_lcm_lora_s8r64
плащ	боди	v10_rl_09_lcm_lora_s8r64
чистое тело	боди-арт	v10_rl_09_lcm_lora_s8r64
чистота	хмель	v10_rl_09_lcm_lora_s8r64
сова	чайка	v10_rl_09_lcm_lora_s8r64
богачи	бомжи	v10_rl_09_lcm_lora_s8r64
3d-разрушитель	3d-принтер	v8_latent_finetune
реальность	аватар	v8_latent_finetune
ластик	чернила	v10_rl_09_lcm_lora_s8r64
меланист	альбинос	v8_latent_finetune
изюм	арбуз	v8_latent_finetune
тусовщица	ботанша	v10_rl_09_lcm_lora_s8r64
песок	асфальт	v8_latent_finetune
снотворное	будильник	v10_rl_09_lcm_lora_s8r64
блондинка	шатенка	v10_rl_09_lcm_lora_s8r64
мороженое	шашлыки	v10_rl_09_lcm_lora_s8r64
щит	булава	v10_rl_09_lcm_lora_s8r64
бинт	байонетта	v8_latent_finetune
сито	банка	v8_latent_finetune
узел	бантик	v8_latent_finetune
брюнет	блондин	v8_latent_finetune
пенсионер	школьница	v10_rl_09_lcm_lora_s8r64
телега	бэтмобиль	v10_rl_09_lcm_lora_s8r64
миротворец	валькирия	v10_rl_09_lcm_lora_s8r64
брюки	блузка	v8_latent_finetune
отказ	шопинг	v10_rl_09_lcm_lora_s8r64
плащ	боди	v8_latent_finetune
чистое тело	боди-арт	v8_latent_finetune
камень	винисиус	v10_rl_09_lcm_lora_s8r64
долгий	шот	v10_rl_09_lcm_lora_s8r64
меч	щит	v10_rl_09_lcm_lora_s8r64
богачи	бомжи	v8_latent_finetune
antidote	venom	v10_rl_09_lcm_lora_s8r64
майка	водолазка	v10_rl_09_lcm_lora_s8r64
саурон	арагорн	v10_rl_09_lcm_lora_s8r64
тусовщица	ботанша	v8_latent_finetune
растениевод	газонокосилка	v10_rl_09_lcm_lora_s8r64
подвал	беседка	v10_rl_09_lcm_lora_s8r64
снотворное	будильник	v8_latent_finetune
щит	булава	v8_latent_finetune
самурай	гейша	v10_rl_09_lcm_lora_s8r64
клеи	гвозди	v10_rl_09_lcm_lora_s8r64
телега	бэтмобиль	v8_latent_finetune
миротворец	валькирия	v8_latent_finetune
камень	гибискус	v10_rl_09_lcm_lora_s8r64
камень	винисиус	v8_latent_finetune
гидрофоб	гидрогель	v10_rl_09_lcm_lora_s8r64
майка	водолазка	v8_latent_finetune
растениевод	газонокосилка	v8_latent_finetune
обломки	гирлянда	v10_rl_09_lcm_lora_s8r64
самурай	гейша	v8_latent_finetune
кактус	гипсофила	v10_rl_09_lcm_lora_s8r64
кактус	гортензия	v10_rl_09_lcm_lora_s8r64
камень	гибискус	v8_latent_finetune
аристократы	гопники	v10_rl_09_lcm_lora_s8r64
хомяк	доберман	v10_rl_09_lcm_lora_s8r64
человек	дрон	v10_rl_09_lcm_lora_s8r64
огнетушитель	кочерга	v10_rl_09_lcm_lora_s8r64
обломки	гирлянда	v8_latent_finetune
кактус	гортензия	v8_latent_finetune
ворота	забор	v10_rl_09_lcm_lora_s8r64
хомяк	доберман	v8_latent_finetune
человек	дрон	v8_latent_finetune
трюфель	кукуруза	v10_rl_09_lcm_lora_s8r64
ворота	забор	v8_latent_finetune
дикий мышь	мейнкун	v10_rl_09_lcm_lora_s8r64
густая шевелюра	залысина	v10_rl_09_lcm_lora_s8r64
тесть	невестка	v10_rl_09_lcm_lora_s8r64
густая шевелюра	залысина	v8_latent_finetune
новосибирск	иерусалим	v10_rl_09_lcm_lora_s8r64
новосибирск	иерусалим	v8_latent_finetune
известный человек	нопэрапон	v10_rl_09_lcm_lora_s8r64
преграда	канал	v8_latent_finetune
преграда	канал	v10_rl_09_lcm_lora_s8r64
туфли	кеды	v10_rl_09_lcm_lora_s8r64
разрыв бумаги	оригами	v10_rl_09_lcm_lora_s8r64
туфли	кеды	v8_latent_finetune
отель	кемпинг	v8_latent_finetune
цепь	перстень	v10_rl_09_lcm_lora_s8r64
отель	кемпинг	v10_rl_09_lcm_lora_s8r64
ботинок	кепка	v8_latent_finetune
футболка	кимоно	v8_latent_finetune
пешеход	приора	v10_rl_09_lcm_lora_s8r64
ботинок	кепка	v10_rl_09_lcm_lora_s8r64
лапы	когти	v8_latent_finetune
бейсболка	кокошник	v8_latent_finetune
футболка	кимоно	v10_rl_09_lcm_lora_s8r64
футболка	риза	v10_rl_09_lcm_lora_s8r64
слон	корги	v8_latent_finetune
лапы	когти	v10_rl_09_lcm_lora_s8r64
миксер	сита	v10_rl_09_lcm_lora_s8r64
халат	корсет	v8_latent_finetune
распущенные	косички	v8_latent_finetune
бейсболка	кокошник	v10_rl_09_lcm_lora_s8r64
ботинки	сланцы	v10_rl_09_lcm_lora_s8r64
шерстяной свитер	косуха	v8_latent_finetune
рассыпь	стопка	v10_rl_09_lcm_lora_s8r64
слон	корги	v10_rl_09_lcm_lora_s8r64
разрыв	крест	v8_latent_finetune
кактус	кувшинка	v8_latent_finetune
халат	корсет	v10_rl_09_lcm_lora_s8r64
росток	лавина	v8_latent_finetune
сфера	тетраэдр	v10_rl_09_lcm_lora_s8r64
массив	лдсп	v8_latent_finetune
свободная рубашка	легинсы	v8_latent_finetune
распущенные	косички	v10_rl_09_lcm_lora_s8r64
поганки	лютики	v8_latent_finetune
спринтеры	марафонцы	v8_latent_finetune
сомбреро	ушанка	v10_rl_09_lcm_lora_s8r64
шерстяной свитер	косуха	v10_rl_09_lcm_lora_s8r64
резервуары	фонтаны	v10_rl_09_lcm_lora_s8r64
динамик	микрофон	v8_latent_finetune
кактус	мох	v8_latent_finetune
руины	храм	v10_rl_09_lcm_lora_s8r64
разрыв	крест	v10_rl_09_lcm_lora_s8r64
